type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
GuestRequestDeliveryReceipt,struct,Assets/Scripts/Services/Run/GuestRequestDeliveryRuntime.cs,8,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"GuestRequestDeliveryReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Run/GuestRequestDeliveryRuntime.cs:32:GuestRequestDeliveryReceipt.FromPhysical | Assets/Scripts/Services/Run/GuestRequestDeliveryRuntime.cs:864:GuestRequestDeliveryRuntime.FromPhysical,0,0,sourceStackIds,inputMassGrams | quantity,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Services/Run/GuestRequestDeliveryRuntime.cs | Assets/Scripts/Services/Run/V20CampaignRuntime.cs,
HealthThresholdCrossedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,402,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"HealthThresholdCrossedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs:1637:CharacterBodyHealthRuntime.<unknown>,1,1,character,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ICharacterIdentityEvent,interface,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,7,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,NonResult,contract/interface definition; not an emitted committed result,NonResult,contract/interface definition; not an emitted committed result,N/A,excluded,contract/interface definition; not an emitted committed result,0,,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,
InfoFeedEvent,struct,Assets/Scripts/Views/UI/BuildingSummaryInfo.cs,391,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,NonResult,building-summary UI presentation request,NonResult,building-summary UI presentation request,N/A,excluded,building-summary UI presentation request,2,Assets/Scripts/Views/UI/BuildingSummaryInfo.cs:411:GameEventBusInfoFeedExtensions.InfoFeedEvent | Assets/Scripts/Views/UI/CharacterSummaryInfo.cs:586:CharacterSummaryInfo.<unknown>,1,9,target,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,Assets/Scripts/Services/Items/ItemPileInfoPanel.cs | Assets/Scripts/Views/Buildings/UI/UIBuildingInfo.cs | Assets/Scripts/Views/Character/UI/StaffWorkPriorityPanel.cs | Assets/Scripts/Views/FacilityEvolution/UI/FacilityEvolutionPanel.cs | Assets/Scripts/Views/UI/BuildingSummaryInfo.cs | Assets/Scripts/Views/UI/CharacterSummaryInfo.cs | Assets/Scripts/Views/UI/DefenseTacticalWorldOverlayController.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,Assets/Scripts/Services/Items/ItemPileInfoPanel.cs | Assets/Scripts/Views/Buildings/UI/UIBuildingInfo.cs | Assets/Scripts/Views/Character/UI/StaffWorkPriorityPanel.cs | Assets/Scripts/Views/UI/BuildingSummaryInfo.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,
InvasionCandidateEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,32,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,unselected invasion candidate/preview,NonResult,unselected invasion candidate/preview,N/A,excluded,unselected invasion candidate/preview,2,Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs:391:InvasionThreatRuntime.InvasionThreatEndlessCrisisOwnershipState | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs:587:InvasionThreatRuntime.<unknown>,2,4,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,
InvasionCombatReportReadyEvent,struct,Assets/Scripts/Services/Invasion/InvasionCombatReportSystem.cs,5,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,"derived combat-report readiness notification; record damage, breach, facility loss, death, and invasion resolution at their authorities instead",NonResult,"derived combat-report readiness notification; record damage, breach, facility loss, death, and invasion resolution at their authorities instead",N/A,excluded,"derived combat-report readiness notification; record damage, breach, facility loss, death, and invasion resolution at their authorities instead",1,Assets/Scripts/Services/Invasion/InvasionCombatReportRuntime.cs:130:InvasionCombatReportRuntime.<unknown>,1,1,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs,
InvasionDungeonBreachedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,12,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"InvasionDungeonBreachedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:127:InvasionIntruderExecutionCoordinator.InvasionIntruderExecutionCoordinator,1,3,intruderActor | intruderRuntime,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs,
InvasionFacilityDamagedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,29,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"InvasionFacilityDamagedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:716:InvasionIntruderRuntime.<unknown>,1,4,facility | intruder,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs,Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRecordEventRecorder.cs | Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRecordRuntime.cs
InvasionFinalCombatStartedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,42,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,combat phase start signal; capture committed damage/death/resolution results,NonResult,combat phase start signal; capture committed damage/death/resolution results,N/A,excluded,combat phase start signal; capture committed damage/death/resolution results,1,Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:80:InvasionIntruderExecutionCoordinator.InvasionIntruderExecutionCoordinator,1,3,intruder | owner,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs,
InvasionResolvedEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,156,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"InvasionResolvedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",5,Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:83:InvasionIntruderExecutionCoordinator.InvasionIntruderExecutionCoordinator | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:670:InvasionIntruderExecutionCoordinator.<unknown> | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:694:InvasionIntruderExecutionCoordinator.<unknown> | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:748:InvasionIntruderRuntime.<unknown> | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:779:InvasionIntruderRuntime.<unknown>,5,11,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CombatLoadoutPreparationRuntime.cs | Assets/Scripts/Services/Evolution/EvolutionCatalystDropRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/ExternalInfluenceRuntime.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,
InvasionSpawnedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,1,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,invasion actor-spawn lifecycle notification; capture authoritative combat and invasion results,NonResult,invasion actor-spawn lifecycle notification; capture authoritative combat and invasion results,N/A,excluded,invasion actor-spawn lifecycle notification; capture authoritative combat and invasion results,1,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:314:InvasionDirectorRuntime.<unknown>,1,5,intruder,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Core/CharacterSkillRuntimeEffects.cs | Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs | Assets/Scripts/Services/Infrastructure/Environment/ExternalInfluenceRuntime.cs | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs | Assets/Scripts/Services/Invasion/InvasionOwnerEvacuationService.cs,
InvasionStartedEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,42,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,invasion lifecycle start signal; capture spawn/breach/damage/resolution results,NonResult,invasion lifecycle start signal; capture spawn/breach/damage/resolution results,N/A,excluded,invasion lifecycle start signal; capture spawn/breach/damage/resolution results,1,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:311:InvasionDirectorRuntime.<unknown>,1,8,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Captivity/CircusRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Evolution/EvolutionCatalystDropRuntime.cs | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,
InvasionThreatWarningEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,22,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,warning notification before a resolved outcome,NonResult,warning notification before a resolved outcome,N/A,excluded,warning notification before a resolved outcome,1,Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs:542:InvasionThreatRuntime.InvasionThreatEndlessCrisisOwnershipState,1,3,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CombatLoadoutPreparationRuntime.cs | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,
InvasionVariableSelectedEvent,struct,Assets/Scripts/Models/Run/Core/RunVariableEvents.cs,46,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"InvasionVariableSelectedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Run/RunVariableSystem.cs:194:RunVariableRuntime.<unknown>,1,0,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
ItemExtractionReceipt,struct,Assets/Scripts/Services/Items/ItemTransferService.cs,239,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ItemExtractionReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Items/ItemTransferService.cs:1440:ItemTransferService.ItemStackId,0,0,itemId | sourceIdentityTransferred | sourceRemainingQuantity | sourceStackId,extractedQuantity | sourceRemainingQuantity,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Services/Items/ItemTransferService.cs | Assets/Scripts/Services/Items/WildlifeHaulItemRuntime.cs,
ManualWaterTransferReceipt,struct,Assets/Scripts/Services/Infrastructure/Industrial/IndustrialInfrastructureModels.cs,591,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ManualWaterTransferReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Services/Infrastructure/Industrial/FluidNetworkRuntime.cs:788:FluidNetworkRuntime.<unknown> | Assets/Scripts/Services/Infrastructure/Industrial/FluidNetworkRuntime.cs:848:FluidNetworkRuntime.<unknown> | Assets/Scripts/Services/Infrastructure/Industrial/FluidNetworkRuntime.cs:899:FluidNetworkRuntime.<unknown>,0,0,,state,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Economy/ProductionCycleUtilityService.cs | Assets/Scripts/Services/Infrastructure/Industrial/FluidNetworkRuntime.cs | Assets/Scripts/Services/Infrastructure/Industrial/IndustrialInfrastructureModels.cs,
MealConsumedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,290,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"MealConsumedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Survival/SurvivalFoodRuntime.cs:810:SurvivalFoodRuntime.<unknown>,1,1,character,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Survival/SurvivalFoodRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
MealMissedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,306,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"MealMissedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Survival/SurvivalFoodRuntime.cs:862:SurvivalFoodRuntime.<unknown>,1,1,character,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Survival/SurvivalFoodRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
MemoryErasureSealUseCompletedEvent,struct,Assets/Scripts/Services/Character/Core/MemoryErasureSealContracts.cs,158,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"MemoryErasureSealUseCompletedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Core/MemoryErasureSealCommandService.cs:953:ActiveOrder.<unknown>,1,0,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,,
MetaUpgradePurchasedEvent,struct,Assets/Scripts/Models/Meta/Core/MetaProgressionEvents.cs,15,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"MetaUpgradePurchasedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Infrastructure/Core/MetaProgressionRuntime.cs:65:MetaProgressionRuntime.<unknown> | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs:78:MetaRuntimeApplicationAdapter.MetaRuntimeApplicationAdapter,1,1,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,
NarrativePublicEvent,class,Assets/Scripts/Models/AI/Core/NarrativePublicContext.cs,199,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,"LLM/public narrative context DTO, not gameplay truth",NonResult,"LLM/public narrative context DTO, not gameplay truth",N/A,excluded,"LLM/public narrative context DTO, not gameplay truth",1,Assets/Scripts/Models/AI/Core/NarrativePublicContext.cs:1184:ProfileContract.NarrativePublicContextSelection,0,0,actorId | targetId,count | Day | day | outcome,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,Assets/Scripts/Services/Evolution/EvolutionHistoryNarrativeRuntime.cs,Assets/Scripts/Models/AI/Core/NarrativePublicContext.cs | Assets/Scripts/Services/Evolution/EvolutionHistoryNarrativeRuntime.cs
NarrativePublicModelEvent,class,Assets/Scripts/Models/AI/Core/NarrativePublicModelInput.cs,56,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,"LLM model input DTO, not gameplay truth",NonResult,"LLM model input DTO, not gameplay truth",N/A,excluded,"LLM model input DTO, not gameplay truth",2,Assets/Scripts/Models/AI/Core/NarrativePublicModelInput.cs:356:NarrativePublicModelInput.NarrativePublicModelEvent | Assets/Scripts/Models/AI/Core/NarrativePublicModelInput.cs:614:NarrativePublicModelInput.NarrativePublicModelEvent,0,0,actorId | targetId,count | Day | day | outcome,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,,Assets/Scripts/Models/AI/Core/NarrativePublicModelInput.cs
NoticeFeedEvent,struct,Assets/Scripts/Views/UI/Core/NoticeFeedContracts.cs,7,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,UI notice request,NonResult,UI notice request,N/A,excluded,UI notice request,1,Assets/Scripts/Views/UI/Core/NoticeFeedContracts.cs:39:GameEventBusNoticeFeedExtensions.NoticeFeedEvent,1,1,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,Assets/Scripts/Views/Buildings/UI/UIBuildingSelectButton.cs | Assets/Scripts/Views/Character/UI/OwnerSelectionPanel.cs | Assets/Scripts/Views/Character/UI/StaffManagementSurfacePanel.cs | Assets/Scripts/Views/UI/CharacterSummaryCaptivityPresenter.cs | Assets/Scripts/Views/UI/CharacterSummaryCombatPresenter.cs | Assets/Scripts/Views/UI/CharacterSummaryGrowthPresenter.cs | Assets/Scripts/Views/UI/Core/NoticeFeed.cs | Assets/Scripts/Views/UI/Core/NoticeFeedContracts.cs | Assets/Scripts/Views/UI/Core/NoticeFeedItemFactory.cs | Assets/Scripts/Views/UI/Core/NoticeFeedPresenter.cs,Assets/Scripts/Controllers/Grid/DungeonStory/Building/DungeonStoryGridBuildingController.cs | Assets/Scripts/Views/Buildings/UI/UIBuildingSelectButton.cs | Assets/Scripts/Views/Character/UI/StaffManagementSurfacePanel.cs | Assets/Scripts/Views/UI/CharacterSummaryCaptivityPresenter.cs | Assets/Scripts/Views/UI/CharacterSummaryCombatPresenter.cs,
